ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
9.1.0,true,base,@timestamp,date,core,,2016-05-23T08:05:34.853Z,Date/time when the event originated.
9.1.0,true,event,event.doc_id,keyword,custom,,abc123,Document ID of the matched alert that triggered the active response.
9.1.0,true,event,event.index,keyword,custom,,wazuh-events-v5-security,Source index of the matched alert that triggered the active response.
9.1.0,true,wazuh,wazuh.active_response.agent_id,keyword,custom,,001,Agent configured in the active response channel.
9.1.0,true,wazuh,wazuh.active_response.executable,keyword,custom,,firewall-drop,Executable configured in the active response channel.
9.1.0,true,wazuh,wazuh.active_response.extra_arguments,keyword,custom,array,"[""192.168.1.100"", ""600""]",Arguments configured in the active response channel.
9.1.0,true,wazuh,wazuh.active_response.location,keyword,custom,,defined-agent,"Where to execute. One of: local, defined-agent, all."
9.1.0,true,wazuh,wazuh.active_response.name,keyword,custom,,firewall-drop,Name of the active response configured in the channel.
9.1.0,true,wazuh,wazuh.active_response.stateful_timeout,integer,custom,,300,Seconds configured in the channel (for stateful type).
9.1.0,true,wazuh,wazuh.active_response.type,keyword,custom,,stateless,"Response type. One of: stateless, stateful."
9.1.0,true,wazuh,wazuh.cluster.name,keyword,custom,,wazuh-cluster-1,Wazuh cluster name.
9.1.0,true,wazuh,wazuh.cluster.node,keyword,custom,,wazuh-cluster-node-1,Wazuh cluster node name.
9.1.0,true,wazuh,wazuh.integration.category,keyword,custom,,security,Wazuh integration category.
9.1.0,true,wazuh,wazuh.integration.decoders,keyword,custom,array,"[""json"", ""syslog""]",List of Wazuh decoders applied to the event.
9.1.0,true,wazuh,wazuh.integration.name,keyword,custom,,Cisco Aironet,Name of the Wazuh integration.
9.1.0,true,wazuh,wazuh.integration.rules,keyword,custom,array,"[""1002"", ""2003""]",List of Wazuh rules applied to the event.
9.1.0,true,wazuh,wazuh.protocol.location,keyword,custom,,/var/log/auth.log,Source of the log as retrieved by the Wazuh Agent.
9.1.0,true,wazuh,wazuh.protocol.queue,byte,custom,,1,Ingestion queue for the log.
9.1.0,true,wazuh,wazuh.schema.version,keyword,custom,,1.7.0,Wazuh schema version.
9.1.0,true,wazuh,wazuh.space.event_discarded,boolean,custom,,False,"When `true`, the event would have been discarded."
9.1.0,true,wazuh,wazuh.space.name,keyword,custom,,default,Wazuh space name.
