ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
8.11.0,true,base,@timestamp,date,core,,2016-05-23T08:05:34.853Z,Date/time when the event originated.
8.11.0,true,base,delivery_timestamp,date,custom,,,The latest date-time for the command to be delivered. Calculated as the current timestamp plus the timeout.
8.11.0,true,base,tags,keyword,core,array,"[""production"", ""env2""]",List of keywords used to tag each event.
8.11.0,true,agent,agent.groups,keyword,custom,,,List of groups the agent belong to.
8.11.0,true,command,command.action.args,object,custom,,,Command arguments object.
8.11.0,true,command,command.action.name,keyword,custom,,,"The requested action type. Examples: `restart`, `update`, `change_group`, `apply_policy`, ..."
8.11.0,true,command,command.action.version,keyword,custom,,,Version of the command's schema.
8.11.0,true,command,command.order_id,keyword,custom,,,UUID generated by the Command Manager.
8.11.0,true,command,command.request_id,keyword,custom,,,UUID generated by the Command Manager.
8.11.0,true,command,command.result.code,short,custom,,,Status code returned by the target.
8.11.0,true,command,command.result.data,keyword,custom,,,Result data returned by the target.
8.11.0,true,command,command.result.message,keyword,custom,,,Result message returned by the target.
8.11.0,true,command,command.source,keyword,custom,,,Origin of the request.
8.11.0,true,command,command.status,keyword,custom,,,"Status within the Command Manager's context. One of ['pending', 'sent', 'success', 'failure']."
8.11.0,true,command,command.target.id,keyword,custom,,,Unique identifier of the destination to send the command to.
8.11.0,true,command,command.target.type,keyword,custom,,,"The destination type. One of [`group`, `agent`, `server`]"
8.11.0,true,command,command.timeout,short,custom,,,Seconds in which the command has to be sent to its target.
8.11.0,true,command,command.user,keyword,custom,,,The user that originated the request.
