ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
9.1.0,true,base,message,keyword,core,,Hello World,Log message optimized for viewing in a log viewer.
9.1.0,true,document,document.confidence,long,custom,,85,"Confidence level or score for the IoC, typically representing the reliability of the indicator."
9.1.0,true,document,document.feed.name,keyword,custom,,AlienVault OTX,Name of the threat intelligence feed that provided this IoC.
9.1.0,true,document,document.first_seen,date,custom,,2024-01-15T08:30:00.000Z,The date and time when the IoC was first observed or reported.
9.1.0,true,document,document.id,keyword,custom,,ioc-12345-abcde,Unique identifier for the IoC document.
9.1.0,true,document,document.last_seen,date,custom,,2024-02-20T14:45:00.000Z,The date and time when the IoC was most recently observed or reported.
9.1.0,true,document,document.name,keyword,custom,,Malicious IP - Botnet C2,"Name or label assigned to the IoC, typically describing the threat or indicator."
9.1.0,true,document,document.provider,keyword,custom,,Wazuh Threat Intelligence,Provider or organization that published the threat intelligence data.
9.1.0,true,document,document.reference,keyword,custom,,https://otx.alienvault.com/indicator/12345,Reference URL or identifier for additional information about the IoC.
9.1.0,true,document,document.software.alias,keyword,custom,,Trojan.GenericKD,Alias or alternative names for the software associated with the IoC.
9.1.0,true,document,document.software.name,keyword,custom,,Emotet,Name of the software or malware associated with the IoC.
9.1.0,true,document,document.software.type,keyword,custom,,Trojan,"Type or classification of the software, such as malware, trojan, or ransomware."
9.1.0,true,document,document.tags,keyword,custom,,"malware, c2, botnet",Tags or labels associated with the IoC for categorization and filtering.
9.1.0,true,document,document.type,keyword,custom,,domain-name,"Type or category of the IoC, such as IP address, domain, file hash, or URL."
