ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
9.1.0,true,base,@timestamp,date,core,,2016-05-23T08:05:34.853Z,Date/time when the event originated.
9.1.0,true,base,message,keyword,core,,Hello World,Log message optimized for viewing in a log viewer.
9.1.0,true,threat,threat.feed.name,keyword,extended,,AlienVault OTX,Name of the threat feed.
9.1.0,true,threat,threat.feed.reference,keyword,extended,,https://otx.alienvault.com,Reference for the threat feed.
9.1.0,true,threat,threat.indicator.confidence,keyword,extended,,Medium,Indicator confidence rating
9.1.0,true,threat,threat.indicator.first_seen,date,extended,,2020-11-05T17:25:47.000Z,Date/time indicator was first reported.
9.1.0,true,threat,threat.indicator.last_seen,date,extended,,2020-11-05T17:25:47.000Z,Date/time indicator was last reported.
9.1.0,true,threat,threat.indicator.name,keyword,extended,,5.2.75.227,Indicator display name
9.1.0,true,threat,threat.indicator.provider,keyword,extended,,lrz_urlhaus,Indicator provider
9.1.0,true,threat,threat.indicator.reference,keyword,extended,,https://system.example.com/indicator/0001234,Indicator reference URL
9.1.0,true,threat,threat.indicator.type,keyword,extended,,ipv4-addr,Type of indicator
9.1.0,true,threat,threat.software.alias,keyword,extended,array,"[ ""X-Agent"" ]",Alias of the software
9.1.0,true,threat,threat.software.name,keyword,extended,,AdFind,Name of the software.
