ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
8.11.0,true,base,tags,keyword,core,array,"[""production"", ""env2""]",List of keywords used to tag each event.
8.11.0,true,cve,cve.inserted_at,date,custom,,,The date the CVE was inserted.
8.11.0,true,cve,cve.name,keyword,custom,,,The name of the CVE.
8.11.0,true,cve,cve.offset,keyword,custom,,,The offset of the CVE.
8.11.0,true,cve,cve.payload.containers.cna.affected.cpes,keyword,custom,,,Common Platform Enumeration (CPE) entries for the affected product.
8.11.0,true,cve,cve.payload.containers.cna.affected.defaultStatus,keyword,custom,,,The default status of the affected product.
8.11.0,true,cve,cve.payload.containers.cna.affected.product,keyword,custom,,,The affected product.
8.11.0,true,cve,cve.payload.containers.cna.affected.vendor,keyword,custom,,,The affected vendor.
8.11.0,true,cve,cve.payload.containers.cna.affected.versions.status,keyword,custom,,,The status of the affected version.
8.11.0,true,cve,cve.payload.containers.cna.affected.versions.version,keyword,custom,,,The affected version.
8.11.0,true,cve,cve.payload.containers.cna.descriptions.lang,keyword,custom,,,The language of the description.
8.11.0,true,cve,cve.payload.containers.cna.descriptions.value,keyword,custom,,,The description of the CVE.
8.11.0,true,cve,cve.payload.containers.cna.metrics.cvssV2_0.accessComplexity,keyword,custom,,,The access complexity.
8.11.0,true,cve,cve.payload.containers.cna.metrics.cvssV2_0.accessVector,keyword,custom,,,The access vector.
8.11.0,true,cve,cve.payload.containers.cna.metrics.cvssV2_0.authentication,keyword,custom,,,The authentication.
8.11.0,true,cve,cve.payload.containers.cna.metrics.cvssV2_0.availabilityImpact,keyword,custom,,,The availability impact.
8.11.0,true,cve,cve.payload.containers.cna.metrics.cvssV2_0.baseScore,keyword,custom,,,The base score.
8.11.0,true,cve,cve.payload.containers.cna.metrics.cvssV2_0.confidentialityImpact,keyword,custom,,,The confidentiality impact.
8.11.0,true,cve,cve.payload.containers.cna.metrics.cvssV2_0.integrityImpact,keyword,custom,,,The integrity impact.
8.11.0,true,cve,cve.payload.containers.cna.metrics.cvssV2_0.vectorString,keyword,custom,,,The vector string.
8.11.0,true,cve,cve.payload.containers.cna.metrics.cvssV2_0.version,keyword,custom,,,The version of CVSS.
8.11.0,true,cve,cve.payload.containers.cna.metrics.format,keyword,custom,,,The format of the metrics.
8.11.0,true,cve,cve.payload.containers.cna.problemTypes.descriptions.cweId,keyword,custom,,,The CWE ID of the problem type.
8.11.0,true,cve,cve.payload.containers.cna.problemTypes.descriptions.description,keyword,custom,,,The description of the problem type.
8.11.0,true,cve,cve.payload.containers.cna.problemTypes.descriptions.lang,keyword,custom,,,The language of the description.
8.11.0,true,cve,cve.payload.containers.cna.providerMetadata.dateUpdated,date,custom,,,The date the CVE was last updated.
8.11.0,true,cve,cve.payload.containers.cna.providerMetadata.orgId,keyword,custom,,,The organization ID of the CVE provider.
8.11.0,true,cve,cve.payload.containers.cna.providerMetadata.shortName,keyword,custom,,,The short name of the CVE provider.
8.11.0,true,cve,cve.payload.containers.cna.providerMetadata.x_subShortName,keyword,custom,,,The sub short name of the CVE provider.
8.11.0,true,cve,cve.payload.containers.cna.references.url,keyword,custom,,,The URL of the reference
8.11.0,true,cve,cve.version,keyword,custom,,,The version of the CVE.
