ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
9.1.0,true,base,message,keyword,core,,Hello World,Log message optimized for viewing in a log viewer.
9.1.0,true,checksum,checksum.hash.sha1,keyword,custom,,,SHA1 hash used as checksum of the data collected by the agent.
9.1.0,true,file,file.attributes,keyword,extended,array,"[""readonly"", ""system""]",Array of file attributes.
9.1.0,true,file,file.device,keyword,extended,,sda,Device that is the source of the file.
9.1.0,true,file,file.gid,keyword,extended,,1001,Primary group ID (GID) of the file.
9.1.0,true,file,file.group,keyword,extended,,alice,Primary group name of the file.
9.1.0,true,file,file.hash.md5,keyword,extended,,,MD5 hash.
9.1.0,true,file,file.hash.sha1,keyword,extended,,,SHA1 hash.
9.1.0,true,file,file.hash.sha256,keyword,extended,,,SHA256 hash.
9.1.0,true,file,file.inode,keyword,extended,,256383,Inode representing the file in the filesystem.
9.1.0,true,file,file.mtime,date,extended,,,Last time the file content was modified.
9.1.0,true,file,file.owner,keyword,extended,,alice,File owner's username.
9.1.0,true,file,file.path,keyword,extended,,/home/alice/example.png,"Full path to the file, including the file name."
9.1.0,true,file,file.permissions,keyword,custom,array,,List of permissions related to the file.
9.1.0,true,file,file.size,long,extended,,16384,File size in bytes.
9.1.0,true,file,file.uid,keyword,extended,,1001,The user ID (UID) or security identifier (SID) of the file owner.
9.1.0,true,state,state.document_version,integer,custom,,,Version of the document.
9.1.0,true,state,state.modified_at,date,custom,,,Date/time when the state was last modified.
9.1.0,true,wazuh,wazuh.agent.build.original,keyword,core,,"metricbeat version 7.6.0 (amd64), libbeat 7.6.0 [6a23e8f8f30f5001ba344e4e54d8d9cb82cb107c built 2020-02-05 23:10:10 +0000 UTC]",Extended build information for the agent.
9.1.0,true,wazuh,wazuh.agent.ephemeral_id,keyword,extended,,8a4f500f,Ephemeral identifier of this agent.
9.1.0,true,wazuh,wazuh.agent.groups,keyword,custom,array,"[""group1"", ""group2""]",List of groups the agent belongs to.
9.1.0,true,wazuh,wazuh.agent.id,keyword,core,,8a4f500d,Unique identifier of this agent.
9.1.0,true,wazuh,wazuh.agent.name,keyword,core,,foo,Custom name of the agent.
9.1.0,true,wazuh,wazuh.agent.type,keyword,core,,filebeat,Type of the agent.
9.1.0,true,wazuh,wazuh.agent.version,keyword,core,,6.0.0-rc2,Version of the agent.
9.1.0,true,wazuh,wazuh.cluster.name,keyword,custom,,,Wazuh cluster name.
9.1.0,true,wazuh,wazuh.cluster.node,keyword,custom,,,Wazuh cluster node name.
9.1.0,true,wazuh,wazuh.schema.version,keyword,custom,,,Wazuh schema version.
