ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
9.1.0,true,base,message,keyword,core,,Hello World,Log message optimized for viewing in a log viewer.
9.1.0,true,checksum,checksum.hash.sha1,keyword,custom,,,SHA1 hash used as checksum of the data collected by the agent.
9.1.0,true,group,group.description,match_only_text,custom,,,Description of the group.
9.1.0,true,group,group.id,unsigned_long,custom,,,Unsigned int64 group ID.
9.1.0,true,group,group.id_signed,long,custom,,,A signed int64 version of the group's ID.
9.1.0,true,group,group.is_hidden,boolean,custom,,,IsHidden attribute set in OpenDirectory.
9.1.0,true,group,group.name,keyword,extended,,,Name of the group.
9.1.0,true,group,group.users,keyword,custom,array,,List of users that belong to the group.
9.1.0,true,group,group.uuid,keyword,custom,,,Unique group ID.
9.1.0,true,state,state.document_version,integer,custom,,,Version of the document.
9.1.0,true,state,state.modified_at,date,custom,,,Date/time when the state was last modified.
9.1.0,true,wazuh,wazuh.agent.build.original,keyword,core,,"metricbeat version 7.6.0 (amd64), libbeat 7.6.0 [6a23e8f8f30f5001ba344e4e54d8d9cb82cb107c built 2020-02-05 23:10:10 +0000 UTC]",Extended build information for the agent.
9.1.0,true,wazuh,wazuh.agent.ephemeral_id,keyword,extended,,8a4f500f,Ephemeral identifier of this agent.
9.1.0,true,wazuh,wazuh.agent.groups,keyword,custom,array,"[""group1"", ""group2""]",List of groups the agent belongs to.
9.1.0,true,wazuh,wazuh.agent.id,keyword,core,,8a4f500d,Unique identifier of this agent.
9.1.0,true,wazuh,wazuh.agent.name,keyword,core,,foo,Custom name of the agent.
9.1.0,true,wazuh,wazuh.agent.type,keyword,core,,filebeat,Type of the agent.
9.1.0,true,wazuh,wazuh.agent.version,keyword,core,,6.0.0-rc2,Version of the agent.
9.1.0,true,wazuh,wazuh.cluster.name,keyword,custom,,,Wazuh cluster name.
9.1.0,true,wazuh,wazuh.cluster.node,keyword,custom,,,Wazuh cluster node name.
9.1.0,true,wazuh,wazuh.schema.version,keyword,custom,,,Wazuh schema version.
