ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
9.1.0,true,base,message,keyword,core,,Hello World,Log message optimized for viewing in a log viewer.
9.1.0,true,checksum,checksum.hash.sha1,keyword,custom,,,SHA1 hash used as checksum of the data collected by the agent.
9.1.0,true,host,host.mac,keyword,core,array,"[""00-00-5E-00-53-23"", ""00-00-5E-00-53-24""]",Host MAC addresses.
9.1.0,true,host,host.network.egress.bytes,long,extended,,,The number of bytes sent on all network interfaces.
9.1.0,true,host,host.network.egress.drops,long,custom,,,Number of dropped transmitted packets.
9.1.0,true,host,host.network.egress.errors,long,custom,,,Number of transmission errors.
9.1.0,true,host,host.network.egress.packets,long,extended,,,The number of packets sent on all network interfaces.
9.1.0,true,host,host.network.ingress.bytes,long,extended,,,The number of bytes received on all network interfaces.
9.1.0,true,host,host.network.ingress.drops,long,custom,,,Number of dropped received packets.
9.1.0,true,host,host.network.ingress.errors,long,custom,,,Number of reception errors.
9.1.0,true,host,host.network.ingress.packets,long,extended,,,The number of packets received on all network interfaces.
9.1.0,true,interface,interface.alias,keyword,extended,,outside,Interface alias
9.1.0,true,interface,interface.mtu,long,custom,,,Maximum transmission unit size.
9.1.0,true,interface,interface.name,keyword,extended,,eth0,Interface name
9.1.0,true,interface,interface.state,keyword,custom,,,State of the network interface.
9.1.0,true,interface,interface.type,keyword,custom,,,Interface type.
9.1.0,true,state,state.document_version,integer,custom,,,Version of the document.
9.1.0,true,state,state.modified_at,date,custom,,,Date/time when the state was last modified.
9.1.0,true,wazuh,wazuh.agent.build.original,keyword,core,,"metricbeat version 7.6.0 (amd64), libbeat 7.6.0 [6a23e8f8f30f5001ba344e4e54d8d9cb82cb107c built 2020-02-05 23:10:10 +0000 UTC]",Extended build information for the agent.
9.1.0,true,wazuh,wazuh.agent.ephemeral_id,keyword,extended,,8a4f500f,Ephemeral identifier of this agent.
9.1.0,true,wazuh,wazuh.agent.groups,keyword,custom,array,"[""group1"", ""group2""]",List of groups the agent belongs to.
9.1.0,true,wazuh,wazuh.agent.id,keyword,core,,8a4f500d,Unique identifier of this agent.
9.1.0,true,wazuh,wazuh.agent.name,keyword,core,,foo,Custom name of the agent.
9.1.0,true,wazuh,wazuh.agent.type,keyword,core,,filebeat,Type of the agent.
9.1.0,true,wazuh,wazuh.agent.version,keyword,core,,6.0.0-rc2,Version of the agent.
9.1.0,true,wazuh,wazuh.cluster.name,keyword,custom,,,Wazuh cluster name.
9.1.0,true,wazuh,wazuh.cluster.node,keyword,custom,,,Wazuh cluster node name.
9.1.0,true,wazuh,wazuh.schema.version,keyword,custom,,,Wazuh schema version.
