ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
8.11.0,true,base,labels,object,core,,"{""application"": ""foo-bar"", ""env"": ""production""}",Custom key/value pairs.
8.11.0,true,base,message,keyword,core,,Hello World,Log message optimized for viewing in a log viewer.
8.11.0,true,agent,agent.build.original,keyword,core,,"metricbeat version 7.6.0 (amd64), libbeat 7.6.0 [6a23e8f8f30f5001ba344e4e54d8d9cb82cb107c built 2020-02-05 23:10:10 +0000 UTC]",Extended build information for the agent.
8.11.0,true,agent,agent.ephemeral_id,keyword,extended,,8a4f500f,Ephemeral identifier of this agent.
8.11.0,true,agent,agent.groups,keyword,custom,array,"[""group1"", ""group2""]",List of groups the agent belongs to.
8.11.0,true,agent,agent.host.architecture,keyword,core,,x86_64,Operating system architecture.
8.11.0,true,agent,agent.host.boot.id,keyword,extended,,88a1f0ed-5ae5-41ee-af6b-41921c311872,Linux boot uuid taken from /proc/sys/kernel/random/boot_id
8.11.0,true,agent,agent.host.cpu,object,custom,,"""name"": ""Intel(R) Core(TM) i7-7700HQ CPU"", ""cores"": 4, ""speed"": 2800",CPU-related data.
8.11.0,true,agent,agent.host.cpu.cores,long,custom,,4,Number of CPU cores.
8.11.0,true,agent,agent.host.cpu.name,keyword,custom,,Intel(R) Core(TM) i7-7700HQ CPU,CPU Model name.
8.11.0,true,agent,agent.host.cpu.speed,long,custom,,2800,CPU clock speed.
8.11.0,true,agent,agent.host.cpu.usage,scaled_float,extended,,,"Percent CPU used, between 0 and 1."
8.11.0,true,agent,agent.host.disk.read.bytes,long,extended,,,The number of bytes read by all disks.
8.11.0,true,agent,agent.host.disk.write.bytes,long,extended,,,The number of bytes written on all disks.
8.11.0,true,agent,agent.host.domain,keyword,extended,,CONTOSO,Name of the directory the group is a member of.
8.11.0,true,agent,agent.host.geo.city_name,keyword,core,,Montreal,City name.
8.11.0,true,agent,agent.host.geo.continent_code,keyword,core,,NA,Continent code.
8.11.0,true,agent,agent.host.geo.continent_name,keyword,core,,North America,Name of the continent.
8.11.0,true,agent,agent.host.geo.country_iso_code,keyword,core,,CA,Country ISO code.
8.11.0,true,agent,agent.host.geo.country_name,keyword,core,,Canada,Country name.
8.11.0,true,agent,agent.host.geo.location,geo_point,core,,"{ ""lon"": -73.614830, ""lat"": 45.505918 }",Longitude and latitude.
8.11.0,true,agent,agent.host.geo.name,keyword,extended,,boston-dc,User-defined description of a location.
8.11.0,true,agent,agent.host.geo.postal_code,keyword,core,,94040,Postal code.
8.11.0,true,agent,agent.host.geo.region_iso_code,keyword,core,,CA-QC,Region ISO code.
8.11.0,true,agent,agent.host.geo.region_name,keyword,core,,Quebec,Region name.
8.11.0,true,agent,agent.host.geo.timezone,keyword,core,,America/Argentina/Buenos_Aires,Time zone.
8.11.0,true,agent,agent.host.hostname,keyword,core,,,Hostname of the host.
8.11.0,true,agent,agent.host.id,keyword,core,,,Unique host id.
8.11.0,true,agent,agent.host.ip,ip,core,array,,Host ip addresses.
8.11.0,true,agent,agent.host.mac,keyword,core,array,"[""00-00-5E-00-53-23"", ""00-00-5E-00-53-24""]",Host MAC addresses.
8.11.0,true,agent,agent.host.memory,object,custom,,"""total"": 100000, ""free"": 90000, ""used"": {""percentage"": 10}",Memory-related data.
8.11.0,true,agent,agent.host.memory.free,long,custom,,1024,Free memory in MB.
8.11.0,true,agent,agent.host.memory.total,long,custom,,1024,Total memory in MB.
8.11.0,true,agent,agent.host.memory.used,object,custom,,"""percentage"": 10",Used memory-related data.
8.11.0,true,agent,agent.host.memory.used.percentage,long,custom,,10,Used memory percentage.
8.11.0,true,agent,agent.host.name,keyword,core,,,Name of the host.
8.11.0,true,agent,agent.host.network.egress.bytes,long,extended,,,The number of bytes sent on all network interfaces.
8.11.0,true,agent,agent.host.network.egress.drops,long,custom,,10,Number of dropped transmitted packets.
8.11.0,true,agent,agent.host.network.egress.errors,long,custom,,10,Number of transmission errors.
8.11.0,true,agent,agent.host.network.egress.packets,long,extended,,,The number of packets sent on all network interfaces.
8.11.0,true,agent,agent.host.network.egress.queue,long,custom,,10,Transmit queue length.
8.11.0,true,agent,agent.host.network.ingress.bytes,long,extended,,,The number of bytes received on all network interfaces.
8.11.0,true,agent,agent.host.network.ingress.drops,long,custom,,10,Number of dropped received packets.
8.11.0,true,agent,agent.host.network.ingress.errors,long,custom,,10,Number of reception errors.
8.11.0,true,agent,agent.host.network.ingress.packets,long,extended,,,The number of packets received on all network interfaces.
8.11.0,true,agent,agent.host.network.ingress.queue,long,custom,,10,Receive queue length.
8.11.0,true,agent,agent.host.os.family,keyword,extended,,debian,"OS family (such as redhat, debian, freebsd, windows)."
8.11.0,true,agent,agent.host.os.full,keyword,extended,,Mac OS Mojave,"Operating system name, including the version or code name."
8.11.0,true,agent,agent.host.os.full.text,keyword,extended,,Mac OS Mojave,"Operating system name, including the version or code name."
8.11.0,true,agent,agent.host.os.kernel,keyword,extended,,4.4.0-112-generic,Operating system kernel version as a raw string.
8.11.0,true,agent,agent.host.os.name,keyword,extended,,Mac OS X,"Operating system name, without the version."
8.11.0,true,agent,agent.host.os.name.text,keyword,extended,,Mac OS X,"Operating system name, without the version."
8.11.0,true,agent,agent.host.os.platform,keyword,extended,,darwin,"Operating system platform (such centos, ubuntu, windows)."
8.11.0,true,agent,agent.host.os.type,keyword,extended,,macos,"Which commercial OS family (one of: linux, macos, unix, windows, ios or android)."
8.11.0,true,agent,agent.host.os.version,keyword,extended,,10.14.1,Operating system version as a raw string.
8.11.0,true,agent,agent.host.pid_ns_ino,keyword,extended,,256383,Pid namespace inode
8.11.0,true,agent,agent.host.risk.calculated_level,keyword,extended,,High,A risk classification level calculated by an internal system as part of entity analytics and entity risk scoring.
8.11.0,true,agent,agent.host.risk.calculated_score,float,extended,,880.73,A risk classification score calculated by an internal system as part of entity analytics and entity risk scoring.
8.11.0,true,agent,agent.host.risk.calculated_score_norm,float,extended,,88.73,A normalized risk score calculated by an internal system.
8.11.0,true,agent,agent.host.risk.static_level,keyword,extended,,High,"A risk classification level obtained from outside the system, such as from some external Threat Intelligence Platform."
8.11.0,true,agent,agent.host.risk.static_score,float,extended,,830.0,"A risk classification score obtained from outside the system, such as from some external Threat Intelligence Platform."
8.11.0,true,agent,agent.host.risk.static_score_norm,float,extended,,83.0,A normalized risk score calculated by an external system.
8.11.0,true,agent,agent.host.type,keyword,core,,,Type of host.
8.11.0,true,agent,agent.host.uptime,long,extended,,1325,Seconds the host has been up.
8.11.0,true,agent,agent.id,keyword,core,,8a4f500d,Unique identifier of this agent.
8.11.0,true,agent,agent.name,keyword,core,,foo,Custom name of the agent.
8.11.0,true,agent,agent.type,keyword,core,,filebeat,Type of the agent.
8.11.0,true,agent,agent.version,keyword,core,,6.0.0-rc2,Version of the agent.
8.11.0,true,azure,azure.azure.activitylogs.category,keyword,custom,,example-category,The category of the Azure Activity Log event
8.11.0,true,azure,azure.azure.activitylogs.event_category,keyword,custom,,example-event_category,The event category for the Azure Activity Log
8.11.0,true,azure,azure.azure.activitylogs.identity.authorization.action,keyword,custom,,example-action,The action performed by the identity in the authorization context
8.11.0,true,azure,azure.azure.activitylogs.identity.authorization.evidence.principal_id,keyword,custom,,example-principal_id,The principal ID in the authorization evidence
8.11.0,true,azure,azure.azure.activitylogs.identity.authorization.evidence.principal_type,keyword,custom,,example-principal_type,The principal type in the authorization evidence
8.11.0,true,azure,azure.azure.activitylogs.identity.authorization.evidence.role,keyword,custom,,example-role,The role name in the authorization evidence
8.11.0,true,azure,azure.azure.activitylogs.identity.authorization.evidence.role_assignment_id,keyword,custom,,example-role_assignment_id,The role assignment ID in the authorization evidence
8.11.0,true,azure,azure.azure.activitylogs.identity.authorization.evidence.role_assignment_scope,keyword,custom,,example-role_assignment_scope,The scope of the role assignment in the authorization evidence
8.11.0,true,azure,azure.azure.activitylogs.identity.authorization.evidence.role_definition_id,keyword,custom,,example-role_definition_id,The role definition ID in the authorization evidence
8.11.0,true,azure,azure.azure.activitylogs.identity.authorization.scope,keyword,custom,,example-scope,The authorization scope for the identity
8.11.0,true,azure,azure.azure.activitylogs.identity.claims,object,custom,,,The claims object containing identity information
8.11.0,true,azure,azure.azure.activitylogs.identity.claims_initiated_by_user_fullname,keyword,custom,,example-claims_initiated_by_user_fullname,The full name of the user who initiated the action from identity claims
8.11.0,true,azure,azure.azure.activitylogs.level,long,custom,,12345,This field indicates the severity of an event
8.11.0,true,azure,azure.azure.activitylogs.operation_name,keyword,custom,,example-operation_name,The name of the operation performed in the Azure Activity Log
8.11.0,true,azure,azure.azure.activitylogs.operation_version,keyword,custom,,example-operation_version,The version of the operation in the Azure Activity Log
8.11.0,true,azure,azure.azure.activitylogs.properties.event_category,keyword,custom,,example-event_category,The category of the event that was logged in Azure activity logs
8.11.0,true,azure,azure.azure.activitylogs.properties.event_properties_cause,keyword,custom,,example-event_properties_cause,The cause of the event as recorded in Azure activity logs
8.11.0,true,azure,azure.azure.activitylogs.properties.service_request_id,keyword,custom,,example-service_request_id,The service request ID from the properties of the Activity Log
8.11.0,true,azure,azure.azure.activitylogs.properties.status_code,keyword,custom,,example-status_code,The status code from the properties of the Activity Log
8.11.0,true,azure,azure.azure.activitylogs.result_signature,keyword,custom,,example-result_signature,The result signature of the Azure Activity Log event
8.11.0,true,azure,azure.azure.activitylogs.result_type,keyword,custom,,example-result_type,The result type of the Azure Activity Log event (e.g. Success Failure)
8.11.0,true,azure,azure.azure.activitylogs.tenant_id,keyword,custom,,example-tenant_id,The tenant ID associated with the Azure Activity Log event
