ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
9.1.0,true,base,@timestamp,date,core,,2016-05-23T08:05:34.853Z,Date/time when the event originated.
9.1.0,true,base,message,keyword,core,,Hello World,Log message optimized for viewing in a log viewer.
9.1.0,true,agent,agent.build.original,keyword,core,,"metricbeat version 7.6.0 (amd64), libbeat 7.6.0 [6a23e8f8f30f5001ba344e4e54d8d9cb82cb107c built 2020-02-05 23:10:10 +0000 UTC]",Extended build information for the agent.
9.1.0,true,agent,agent.ephemeral_id,keyword,extended,,8a4f500f,Ephemeral identifier of this agent.
9.1.0,true,agent,agent.groups,keyword,custom,array,"[""group1"", ""group2""]",List of groups the agent belongs to.
9.1.0,true,agent,agent.host.architecture,keyword,core,,x86_64,Operating system architecture.
9.1.0,true,agent,agent.host.boot.id,keyword,extended,,88a1f0ed-5ae5-41ee-af6b-41921c311872,Linux boot uuid taken from /proc/sys/kernel/random/boot_id
9.1.0,true,agent,agent.host.cpu,object,custom,,"""name"": ""Intel(R) Core(TM) i7-7700HQ CPU"", ""cores"": 4, ""speed"": 2800",CPU-related data.
9.1.0,true,agent,agent.host.cpu.cores,long,custom,,4,Number of CPU cores.
9.1.0,true,agent,agent.host.cpu.name,keyword,custom,,Intel(R) Core(TM) i7-7700HQ CPU,CPU Model name.
9.1.0,true,agent,agent.host.cpu.speed,long,custom,,2800,CPU clock speed.
9.1.0,true,agent,agent.host.cpu.usage,scaled_float,extended,,,"Percent CPU used, between 0 and 1."
9.1.0,true,agent,agent.host.disk.read.bytes,long,extended,,,The number of bytes read by all disks.
9.1.0,true,agent,agent.host.disk.write.bytes,long,extended,,,The number of bytes written on all disks.
9.1.0,true,agent,agent.host.domain,keyword,extended,,CONTOSO,Name of the directory the group is a member of.
9.1.0,true,agent,agent.host.geo.city_name,keyword,core,,Montreal,City name.
9.1.0,true,agent,agent.host.geo.continent_code,keyword,core,,NA,Continent code.
9.1.0,true,agent,agent.host.geo.continent_name,keyword,core,,North America,Name of the continent.
9.1.0,true,agent,agent.host.geo.country_iso_code,keyword,core,,CA,Country ISO code.
9.1.0,true,agent,agent.host.geo.country_name,keyword,core,,Canada,Country name.
9.1.0,true,agent,agent.host.geo.location,geo_point,core,,"{ ""lon"": -73.614830, ""lat"": 45.505918 }",Longitude and latitude.
9.1.0,true,agent,agent.host.geo.name,keyword,extended,,boston-dc,User-defined description of a location.
9.1.0,true,agent,agent.host.geo.postal_code,keyword,core,,94040,Postal code.
9.1.0,true,agent,agent.host.geo.region_iso_code,keyword,core,,CA-QC,Region ISO code.
9.1.0,true,agent,agent.host.geo.region_name,keyword,core,,Quebec,Region name.
9.1.0,true,agent,agent.host.geo.timezone,keyword,core,,America/Argentina/Buenos_Aires,Time zone.
9.1.0,true,agent,agent.host.hostname,keyword,core,,,Hostname of the host.
9.1.0,true,agent,agent.host.id,keyword,core,,,Unique host id.
9.1.0,true,agent,agent.host.ip,ip,core,array,,Host ip addresses.
9.1.0,true,agent,agent.host.mac,keyword,core,array,"[""00-00-5E-00-53-23"", ""00-00-5E-00-53-24""]",Host MAC addresses.
9.1.0,true,agent,agent.host.memory,object,custom,,"""total"": 100000, ""free"": 90000, ""used"": {""percentage"": 10}",Memory-related data.
9.1.0,true,agent,agent.host.memory.free,long,custom,,1024,Free memory in MB.
9.1.0,true,agent,agent.host.memory.total,long,custom,,1024,Total memory in MB.
9.1.0,true,agent,agent.host.memory.used,object,custom,,"""percentage"": 10",Used memory-related data.
9.1.0,true,agent,agent.host.memory.used.percentage,long,custom,,10,Used memory percentage.
9.1.0,true,agent,agent.host.name,keyword,core,,,Name of the host.
9.1.0,true,agent,agent.host.network.egress.bytes,long,extended,,,The number of bytes sent on all network interfaces.
9.1.0,true,agent,agent.host.network.egress.drops,long,custom,,10,Number of dropped transmitted packets.
9.1.0,true,agent,agent.host.network.egress.errors,long,custom,,10,Number of transmission errors.
9.1.0,true,agent,agent.host.network.egress.packets,long,extended,,,The number of packets sent on all network interfaces.
9.1.0,true,agent,agent.host.network.egress.queue,long,custom,,10,Transmit queue length.
9.1.0,true,agent,agent.host.network.ingress.bytes,long,extended,,,The number of bytes received on all network interfaces.
9.1.0,true,agent,agent.host.network.ingress.drops,long,custom,,10,Number of dropped received packets.
9.1.0,true,agent,agent.host.network.ingress.errors,long,custom,,10,Number of reception errors.
9.1.0,true,agent,agent.host.network.ingress.packets,long,extended,,,The number of packets received on all network interfaces.
9.1.0,true,agent,agent.host.network.ingress.queue,long,custom,,10,Receive queue length.
9.1.0,true,agent,agent.host.os.family,keyword,extended,,debian,"OS family (such as redhat, debian, freebsd, windows)."
9.1.0,true,agent,agent.host.os.full,keyword,extended,,Mac OS Mojave,"Operating system name, including the version or code name."
9.1.0,true,agent,agent.host.os.kernel,keyword,extended,,4.4.0-112-generic,Operating system kernel version as a raw string.
9.1.0,true,agent,agent.host.os.name,keyword,extended,,Mac OS X,"Operating system name, without the version."
9.1.0,true,agent,agent.host.os.platform,keyword,extended,,darwin,"Operating system platform (such centos, ubuntu, windows)."
9.1.0,true,agent,agent.host.os.type,keyword,extended,,macos,"Which commercial OS family (one of: linux, macos, unix, windows, ios or android)."
9.1.0,true,agent,agent.host.os.version,keyword,extended,,10.14.1,Operating system version as a raw string.
9.1.0,true,agent,agent.host.pid_ns_ino,keyword,extended,,256383,Pid namespace inode
9.1.0,true,agent,agent.host.risk.calculated_level,keyword,extended,,High,A risk classification level calculated by an internal system as part of entity analytics and entity risk scoring.
9.1.0,true,agent,agent.host.risk.calculated_score,float,extended,,880.73,A risk classification score calculated by an internal system as part of entity analytics and entity risk scoring.
9.1.0,true,agent,agent.host.risk.calculated_score_norm,float,extended,,88.73,A normalized risk score calculated by an internal system.
9.1.0,true,agent,agent.host.risk.static_level,keyword,extended,,High,"A risk classification level obtained from outside the system, such as from some external Threat Intelligence Platform."
9.1.0,true,agent,agent.host.risk.static_score,float,extended,,830.0,"A risk classification score obtained from outside the system, such as from some external Threat Intelligence Platform."
9.1.0,true,agent,agent.host.risk.static_score_norm,float,extended,,83.0,A normalized risk score calculated by an external system.
9.1.0,true,agent,agent.host.type,keyword,core,,,Type of host.
9.1.0,true,agent,agent.host.uptime,long,extended,,1325,Seconds the host has been up.
9.1.0,true,agent,agent.id,keyword,core,,8a4f500d,Unique identifier of this agent.
9.1.0,true,agent,agent.name,keyword,core,,foo,Custom name of the agent.
9.1.0,true,agent,agent.type,keyword,core,,filebeat,Type of the agent.
9.1.0,true,agent,agent.version,keyword,core,,6.0.0-rc2,Version of the agent.
9.1.0,true,aws,aws.amazonmq.broker,keyword,custom,,example-broker,Name or identifier of the Amazon MQ message broker instance
9.1.0,true,aws,aws.amazonmq.queue,keyword,custom,,example-queue,Name of the specific message queue within Amazon MQ
9.1.0,true,aws,aws.apigateway.api_id,keyword,custom,,example-api_id,Unique identifier for the Amazon API Gateway API
9.1.0,true,aws,aws.apigateway_api_id,keyword,custom,,example-apigateway_api_id,The identifier API Gateway assigns to your API.
9.1.0,true,aws,aws.apigateway_caller,keyword,custom,,example-apigateway_caller,The principal identifier of the caller making the request.
9.1.0,true,aws,aws.apigateway_connection_id,keyword,custom,,example-apigateway_connection_id,A unique ID for the connection that can be used to make a callback to the client.
9.1.0,true,aws,aws.apigateway_domain_name,keyword,custom,,example-apigateway_domain_name,The full domain name used to invoke the API.
9.1.0,true,aws,aws.apigateway_event_type,keyword,custom,,example-apigateway_event_type,"The event type: CONNECT, MESSAGE, or DISCONNECT."
9.1.0,true,aws,aws.apigateway_http_method,keyword,custom,,example-apigateway_http_method,"The HTTP method used. Valid values include: DELETE, GET, HEAD, OPTIONS, PATCH, POST, and PUT."
9.1.0,true,aws,aws.apigateway_ip,keyword,custom,,example-apigateway_ip,The internet address of the requester.
9.1.0,true,aws,aws.apigateway_protocol,keyword,custom,,example-apigateway_protocol,"API Gateway APIs can accept HTTP/2 requests, but API Gateway sends requests to backend integrations using HTTP/1.1."
9.1.0,true,aws,aws.apigateway_request_id,keyword,custom,,example-apigateway_request_id,An ID for the request. Clients can override this request ID.
9.1.0,true,aws,aws.apigateway_request_time,date,custom,,2023-01-01T00:00:00.000Z,The CLF-formatted request time as reported by the log source.
9.1.0,true,aws,aws.apigateway_resource_path,keyword,custom,,example-apigateway_resource_path,The path to your resource.
9.1.0,true,aws,aws.apigateway_response_length,long,custom,,12345,The response payload length in bytes.
9.1.0,true,aws,aws.apigateway_route_key,keyword,custom,,example-apigateway_route_key,The selected route key as reported by the log source.
9.1.0,true,aws,aws.apigateway_stage,keyword,custom,,example-apigateway_stage,"The deployment stage of the API call (for example, beta or prod)."
9.1.0,true,aws,aws.apigateway_status,long,custom,,12345,The response status as reported by AWS API Gateway.
9.1.0,true,aws,aws.apigateway_user,keyword,custom,,example-apigateway_user,The principal identifier of the user making the request.
9.1.0,true,aws,aws.cloudfront_domain,keyword,custom,,example-cloudfront_domain,The domain name of the CloudFront distribution as reported by AWS CloudFront.
9.1.0,true,aws,aws.cloudfront_edge_detailed_result_type,keyword,custom,,example-cloudfront_edge_detailed_result_type,Error type when x-edge-result-type is Error
9.1.0,true,aws,aws.cloudfront_edge_location,keyword,custom,,example-cloudfront_edge_location,"Edge location serving request (3-letter IATA airport code + number, e.g., DFW3) identifying geographic location"
9.1.0,true,aws,aws.cloudfront_edge_response_result_type,keyword,custom,,example-cloudfront_edge_response_result_type,Server response classification just before returning response to viewer (see also x-edge-result-type field)
9.1.0,true,aws,aws.cloudfront_edge_result_type,keyword,custom,,example-cloudfront_edge_result_type,Server response classification after last byte sent; result type can change during response transmission
9.1.0,true,aws,aws.cloudfront_forwarded_ip,keyword,custom,,example-cloudfront_forwarded_ip,This field contains client IP addresses collected by CloudFront.
9.1.0,true,aws,aws.cloudfront_range_end,long,custom,,12345,"When the response contains the HTTP Content-Range header, this field contains the range end value."
9.1.0,true,aws,aws.cloudfront_range_start,long,custom,,12345,"When the response contains the HTTP Content-Range header, this field contains the range start value."
9.1.0,true,aws,aws.cloudfront_time_to_first_byte,float,custom,,,"Seconds between receiving request and writing first response byte, measured on server"
9.1.0,true,aws,aws.cloudtrail_additional_event_data,keyword,custom,,example-cloudtrail_additional_event_data,Additional data about the event that was not part of the request or response.
9.1.0,true,aws,aws.cloudtrail_api_version,keyword,custom,,example-cloudtrail_api_version,The API version associated with the AwsApiCall eventType value.
9.1.0,true,aws,aws.cloudtrail_console_login_additional_event_data_login_to,keyword,custom,,example-cloudtrail_console_login_additional_event_data_login_to,The URL that the user navigated to when logging into the AWS Management Console.
9.1.0,true,aws,aws.cloudtrail_console_login_additional_event_data_mfa_used,boolean,custom,,True,Indicates whether multi-factor authentication (MFA) was used during console login.
9.1.0,true,aws,aws.cloudtrail_console_login_additional_event_data_mobile_version,boolean,custom,,True,Indicates whether the mobile version of the console was used for login.
9.1.0,true,aws,aws.cloudtrail_digest_end_time,date,custom,,2023-01-01T00:00:00.000Z,The end time for the digest delivery time range.
9.1.0,true,aws,aws.cloudtrail_digest_log_files,nested,custom,,,A list of log files that are covered by the digest file.
9.1.0,true,aws,aws.cloudtrail_digest_newest_event_time,date,custom,,2023-01-01T00:00:00.000Z,The timestamp of the newest event in the digest file.
9.1.0,true,aws,aws.cloudtrail_digest_oldest_event_time,date,custom,,2023-01-01T00:00:00.000Z,The timestamp of the oldest event in the digest file.
9.1.0,true,aws,aws.cloudtrail_digest_previous_hash_algorithm,keyword,custom,,example-cloudtrail_digest_previous_hash_algorithm,The hash algorithm used for the previous digest file.
9.1.0,true,aws,aws.cloudtrail_digest_previous_s3_bucket,keyword,custom,,example-cloudtrail_digest_previous_s3_bucket,The S3 bucket where the previous digest file was delivered.
9.1.0,true,aws,aws.cloudtrail_digest_public_key_fingerprint,keyword,custom,,example-cloudtrail_digest_public_key_fingerprint,The fingerprint of the public key used to validate the digest file.
9.1.0,true,aws,aws.cloudtrail_digest_s3_bucket,keyword,custom,,example-cloudtrail_digest_s3_bucket,The S3 bucket where the digest file was delivered.
9.1.0,true,aws,aws.cloudtrail_digest_signature_algorithm,keyword,custom,,example-cloudtrail_digest_signature_algorithm,The algorithm used to sign the digest file.
9.1.0,true,aws,aws.cloudtrail_digest_start_time,date,custom,,2023-01-01T00:00:00.000Z,The start time for the digest delivery time range.
9.1.0,true,aws,aws.cloudtrail_error_code,keyword,custom,,example-cloudtrail_error_code,The AWS service error if the request returns an error.
9.1.0,true,aws,aws.cloudtrail_error_message,keyword,custom,,example-cloudtrail_error_message,"If the request returns an error, the description of the error."
9.1.0,true,aws,aws.cloudtrail_event_category,keyword,custom,,example-cloudtrail_event_category,"The category of the CloudTrail event, such as Management, Data, or Insight."
9.1.0,true,aws,aws.cloudtrail_event_id,keyword,custom,,example-cloudtrail_event_id,A unique ID for this event. This can be used to identify a specific event.
9.1.0,true,aws,aws.cloudtrail_event_source,keyword,custom,,example-cloudtrail_event_source,The source of the CloudTrail event.
9.1.0,true,aws,aws.cloudtrail_event_type,keyword,custom,,example-cloudtrail_event_type,"Identifies the type of event, such as AwsApiCall, AwsServiceEvent, or AwsConsoleSignIn."
9.1.0,true,aws,aws.cloudtrail_event_version,keyword,custom,,example-cloudtrail_event_version,The version of the CloudTrail event format.
9.1.0,true,aws,aws.cloudtrail_insight_details,object,custom,,,Additional information about an Insights event.
9.1.0,true,aws,aws.cloudtrail_management_event,boolean,custom,,True,Indicates whether the event is a management event. A value of true indicates a management event.
9.1.0,true,aws,aws.cloudtrail_read_only,boolean,custom,,True,Identifies whether an event is a read-only event or a write event.
9.1.0,true,aws,aws.cloudtrail_recipient_account_id,keyword,custom,,example-cloudtrail_recipient_account_id,Represents the account ID that received this event.
9.1.0,true,aws,aws.cloudtrail_request_id,keyword,custom,,example-cloudtrail_request_id,The value that identifies the request. The service being called generates this value.
9.1.0,true,aws,aws.cloudtrail_request_parameters,keyword,custom,,example-cloudtrail_request_parameters,"The parameters, if any, that were sent with the request."
9.1.0,true,aws,aws.cloudtrail_resources,nested,custom,,,A list of resources accessed in the event.
9.1.0,true,aws,aws.cloudtrail_response_elements,keyword,custom,,example-cloudtrail_response_elements,The response elements from the service that processed the request.
9.1.0,true,aws,aws.cloudtrail_shared_event_id,keyword,custom,,example-cloudtrail_shared_event_id,GUID generated by CloudTrail to uniquely identify CloudTrail events from the same AWS action.
9.1.0,true,aws,aws.cloudtrail_user_identity_access_key_id,keyword,custom,,example-cloudtrail_user_identity_access_key_id,The access key ID that was used to sign the request.
9.1.0,true,aws,aws.cloudtrail_user_identity_arn,keyword,custom,,example-cloudtrail_user_identity_arn,The Amazon Resource Name (ARN) of the principal that made the call.
9.1.0,true,aws,aws.cloudtrail_user_identity_invoked_by,keyword,custom,,example-cloudtrail_user_identity_invoked_by,"The name of the AWS service that made the request, such as signin.amazonaws.com."
9.1.0,true,aws,aws.cloudtrail_user_identity_session_context_creation_date,date,custom,,2023-01-01T00:00:00.000Z,The date and time when the session credentials were issued.
9.1.0,true,aws,aws.cloudtrail_user_identity_session_context_mfa_authenticated,keyword,custom,,example-cloudtrail_user_identity_session_context_mfa_authenticated,"If MFA was used to authenticate the request, shows whether MFA was authenticated or not."
9.1.0,true,aws,aws.cloudtrail_user_identity_session_context_session_issuer_account_id,keyword,custom,,example-cloudtrail_user_identity_session_context_session_issuer_account_id,The account that owns the entity that was used to get credentials.
9.1.0,true,aws,aws.cloudtrail_user_identity_session_context_session_issuer_arn,keyword,custom,,example-cloudtrail_user_identity_session_context_session_issuer_arn,"The ARN of the source (account, IAM user, or role) that was used to get temporary credentials."
9.1.0,true,aws,aws.cloudtrail_user_identity_session_context_session_issuer_principal_id,keyword,custom,,example-cloudtrail_user_identity_session_context_session_issuer_principal_id,The internal ID of the entity that was used to get credentials.
9.1.0,true,aws,aws.cloudtrail_user_identity_session_context_session_issuer_type,keyword,custom,,example-cloudtrail_user_identity_session_context_session_issuer_type,"The type of session issuer, such as Role or IAMUser."
9.1.0,true,aws,aws.cloudtrail_user_identity_type,keyword,custom,,example-cloudtrail_user_identity_type,"The type of identity that made the request, such as IAMUser, AssumedRole, or Root."
9.1.0,true,aws,aws.cloudtrail_vpc_endpoint_id,keyword,custom,,example-cloudtrail_vpc_endpoint_id,Identifies the VPC endpoint in which requests were made from a VPC to another AWS service.
