ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
9.1.0,true,base,@timestamp,date,core,,2016-05-23T08:05:34.853Z,Date/time when the event originated.
9.1.0,true,base,icmp,object,custom,,,An object containing Internet Control Message Protocol (ICMP) related information.
9.1.0,true,base,igmp,object,custom,,,An object containing Internet Group Management Protocol (IGMP) related information.
9.1.0,true,base,message,keyword,core,,Hello World,Log message optimized for viewing in a log viewer.
9.1.0,true,base,payload,keyword,custom,,example-payload,Raw event payload containing the original log message.
9.1.0,true,base,sonicwall,object,custom,,,An object containing specific events and data captured by SonicWall firewall devices.
9.1.0,true,agent,agent.build.original,keyword,core,,"metricbeat version 7.6.0 (amd64), libbeat 7.6.0 [6a23e8f8f30f5001ba344e4e54d8d9cb82cb107c built 2020-02-05 23:10:10 +0000 UTC]",Extended build information for the agent.
9.1.0,true,agent,agent.ephemeral_id,keyword,extended,,8a4f500f,Ephemeral identifier of this agent.
9.1.0,true,agent,agent.groups,keyword,custom,array,"[""group1"", ""group2""]",List of groups the agent belongs to.
9.1.0,true,agent,agent.host.architecture,keyword,core,,x86_64,Operating system architecture.
9.1.0,true,agent,agent.host.boot.id,keyword,extended,,88a1f0ed-5ae5-41ee-af6b-41921c311872,Linux boot uuid taken from /proc/sys/kernel/random/boot_id
9.1.0,true,agent,agent.host.cpu,object,custom,,"""name"": ""Intel(R) Core(TM) i7-7700HQ CPU"", ""cores"": 4, ""speed"": 2800",CPU-related data.
9.1.0,true,agent,agent.host.cpu.cores,long,custom,,4,Number of CPU cores.
9.1.0,true,agent,agent.host.cpu.name,keyword,custom,,Intel(R) Core(TM) i7-7700HQ CPU,CPU Model name.
9.1.0,true,agent,agent.host.cpu.speed,long,custom,,2800,CPU clock speed.
9.1.0,true,agent,agent.host.cpu.usage,scaled_float,extended,,,"Percent CPU used, between 0 and 1."
9.1.0,true,agent,agent.host.disk.read.bytes,long,extended,,,The number of bytes read by all disks.
9.1.0,true,agent,agent.host.disk.write.bytes,long,extended,,,The number of bytes written on all disks.
9.1.0,true,agent,agent.host.domain,keyword,extended,,CONTOSO,Name of the directory the group is a member of.
9.1.0,true,agent,agent.host.geo.city_name,keyword,core,,Montreal,City name.
9.1.0,true,agent,agent.host.geo.continent_code,keyword,core,,NA,Continent code.
9.1.0,true,agent,agent.host.geo.continent_name,keyword,core,,North America,Name of the continent.
9.1.0,true,agent,agent.host.geo.country_iso_code,keyword,core,,CA,Country ISO code.
9.1.0,true,agent,agent.host.geo.country_name,keyword,core,,Canada,Country name.
9.1.0,true,agent,agent.host.geo.location,geo_point,core,,"{ ""lon"": -73.614830, ""lat"": 45.505918 }",Longitude and latitude.
9.1.0,true,agent,agent.host.geo.name,keyword,extended,,boston-dc,User-defined description of a location.
9.1.0,true,agent,agent.host.geo.postal_code,keyword,core,,94040,Postal code.
9.1.0,true,agent,agent.host.geo.region_iso_code,keyword,core,,CA-QC,Region ISO code.
9.1.0,true,agent,agent.host.geo.region_name,keyword,core,,Quebec,Region name.
9.1.0,true,agent,agent.host.geo.timezone,keyword,core,,America/Argentina/Buenos_Aires,Time zone.
9.1.0,true,agent,agent.host.hostname,keyword,core,,,Hostname of the host.
9.1.0,true,agent,agent.host.id,keyword,core,,,Unique host id.
9.1.0,true,agent,agent.host.ip,ip,core,array,,Host ip addresses.
9.1.0,true,agent,agent.host.mac,keyword,core,array,"[""00-00-5E-00-53-23"", ""00-00-5E-00-53-24""]",Host MAC addresses.
9.1.0,true,agent,agent.host.memory,object,custom,,"""total"": 100000, ""free"": 90000, ""used"": {""percentage"": 10}",Memory-related data.
9.1.0,true,agent,agent.host.memory.free,long,custom,,1024,Free memory in MB.
9.1.0,true,agent,agent.host.memory.total,long,custom,,1024,Total memory in MB.
9.1.0,true,agent,agent.host.memory.used,object,custom,,"""percentage"": 10",Used memory-related data.
