ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
9.1.0,true,base,@timestamp,date,core,,2016-05-23T08:05:34.853Z,Date/time when the event originated.
9.1.0,true,base,message,keyword,core,,Hello World,Log message optimized for viewing in a log viewer.
9.1.0,true,agent,agent.build.original,keyword,core,,"metricbeat version 7.6.0 (amd64), libbeat 7.6.0 [6a23e8f8f30f5001ba344e4e54d8d9cb82cb107c built 2020-02-05 23:10:10 +0000 UTC]",Extended build information for the agent.
9.1.0,true,agent,agent.ephemeral_id,keyword,extended,,8a4f500f,Ephemeral identifier of this agent.
9.1.0,true,agent,agent.groups,keyword,custom,array,"[""group1"", ""group2""]",List of groups the agent belongs to.
9.1.0,true,agent,agent.host.architecture,keyword,core,,x86_64,Operating system architecture.
9.1.0,true,agent,agent.host.boot.id,keyword,extended,,88a1f0ed-5ae5-41ee-af6b-41921c311872,Linux boot uuid taken from /proc/sys/kernel/random/boot_id
9.1.0,true,agent,agent.host.cpu,object,custom,,"""name"": ""Intel(R) Core(TM) i7-7700HQ CPU"", ""cores"": 4, ""speed"": 2800",CPU-related data.
9.1.0,true,agent,agent.host.cpu.cores,long,custom,,4,Number of CPU cores.
9.1.0,true,agent,agent.host.cpu.name,keyword,custom,,Intel(R) Core(TM) i7-7700HQ CPU,CPU Model name.
9.1.0,true,agent,agent.host.cpu.speed,long,custom,,2800,CPU clock speed.
9.1.0,true,agent,agent.host.cpu.usage,scaled_float,extended,,,"Percent CPU used, between 0 and 1."
9.1.0,true,agent,agent.host.disk.read.bytes,long,extended,,,The number of bytes read by all disks.
9.1.0,true,agent,agent.host.disk.write.bytes,long,extended,,,The number of bytes written on all disks.
9.1.0,true,agent,agent.host.domain,keyword,extended,,CONTOSO,Name of the directory the group is a member of.
9.1.0,true,agent,agent.host.geo.city_name,keyword,core,,Montreal,City name.
9.1.0,true,agent,agent.host.geo.continent_code,keyword,core,,NA,Continent code.
9.1.0,true,agent,agent.host.geo.continent_name,keyword,core,,North America,Name of the continent.
9.1.0,true,agent,agent.host.geo.country_iso_code,keyword,core,,CA,Country ISO code.
9.1.0,true,agent,agent.host.geo.country_name,keyword,core,,Canada,Country name.
9.1.0,true,agent,agent.host.geo.location,geo_point,core,,"{ ""lon"": -73.614830, ""lat"": 45.505918 }",Longitude and latitude.
9.1.0,true,agent,agent.host.geo.name,keyword,extended,,boston-dc,User-defined description of a location.
9.1.0,true,agent,agent.host.geo.postal_code,keyword,core,,94040,Postal code.
9.1.0,true,agent,agent.host.geo.region_iso_code,keyword,core,,CA-QC,Region ISO code.
9.1.0,true,agent,agent.host.geo.region_name,keyword,core,,Quebec,Region name.
9.1.0,true,agent,agent.host.geo.timezone,keyword,core,,America/Argentina/Buenos_Aires,Time zone.
9.1.0,true,agent,agent.host.hostname,keyword,core,,,Hostname of the host.
9.1.0,true,agent,agent.host.id,keyword,core,,,Unique host id.
9.1.0,true,agent,agent.host.ip,ip,core,array,,Host ip addresses.
9.1.0,true,agent,agent.host.mac,keyword,core,array,"[""00-00-5E-00-53-23"", ""00-00-5E-00-53-24""]",Host MAC addresses.
9.1.0,true,agent,agent.host.memory,object,custom,,"""total"": 100000, ""free"": 90000, ""used"": {""percentage"": 10}",Memory-related data.
9.1.0,true,agent,agent.host.memory.free,long,custom,,1024,Free memory in MB.
9.1.0,true,agent,agent.host.memory.total,long,custom,,1024,Total memory in MB.
9.1.0,true,agent,agent.host.memory.used,object,custom,,"""percentage"": 10",Used memory-related data.
9.1.0,true,agent,agent.host.memory.used.percentage,long,custom,,10,Used memory percentage.
9.1.0,true,agent,agent.host.name,keyword,core,,,Name of the host.
9.1.0,true,agent,agent.host.network.egress.bytes,long,extended,,,The number of bytes sent on all network interfaces.
9.1.0,true,agent,agent.host.network.egress.drops,long,custom,,10,Number of dropped transmitted packets.
9.1.0,true,agent,agent.host.network.egress.errors,long,custom,,10,Number of transmission errors.
9.1.0,true,agent,agent.host.network.egress.packets,long,extended,,,The number of packets sent on all network interfaces.
9.1.0,true,agent,agent.host.network.egress.queue,long,custom,,10,Transmit queue length.
9.1.0,true,agent,agent.host.network.ingress.bytes,long,extended,,,The number of bytes received on all network interfaces.
9.1.0,true,agent,agent.host.network.ingress.drops,long,custom,,10,Number of dropped received packets.
9.1.0,true,agent,agent.host.network.ingress.errors,long,custom,,10,Number of reception errors.
9.1.0,true,agent,agent.host.network.ingress.packets,long,extended,,,The number of packets received on all network interfaces.
9.1.0,true,agent,agent.host.network.ingress.queue,long,custom,,10,Receive queue length.
9.1.0,true,agent,agent.host.os.family,keyword,extended,,debian,"OS family (such as redhat, debian, freebsd, windows)."
9.1.0,true,agent,agent.host.os.full,keyword,extended,,Mac OS Mojave,"Operating system name, including the version or code name."
9.1.0,true,agent,agent.host.os.kernel,keyword,extended,,4.4.0-112-generic,Operating system kernel version as a raw string.
9.1.0,true,agent,agent.host.os.name,keyword,extended,,Mac OS X,"Operating system name, without the version."
9.1.0,true,agent,agent.host.os.platform,keyword,extended,,darwin,"Operating system platform (such centos, ubuntu, windows)."
9.1.0,true,agent,agent.host.os.type,keyword,extended,,macos,"Which commercial OS family (one of: linux, macos, unix, windows, ios or android)."
9.1.0,true,agent,agent.host.os.version,keyword,extended,,10.14.1,Operating system version as a raw string.
9.1.0,true,agent,agent.host.pid_ns_ino,keyword,extended,,256383,Pid namespace inode
9.1.0,true,agent,agent.host.risk.calculated_level,keyword,extended,,High,A risk classification level calculated by an internal system as part of entity analytics and entity risk scoring.
9.1.0,true,agent,agent.host.risk.calculated_score,float,extended,,880.73,A risk classification score calculated by an internal system as part of entity analytics and entity risk scoring.
9.1.0,true,agent,agent.host.risk.calculated_score_norm,float,extended,,88.73,A normalized risk score calculated by an internal system.
9.1.0,true,agent,agent.host.risk.static_level,keyword,extended,,High,"A risk classification level obtained from outside the system, such as from some external Threat Intelligence Platform."
9.1.0,true,agent,agent.host.risk.static_score,float,extended,,830.0,"A risk classification score obtained from outside the system, such as from some external Threat Intelligence Platform."
9.1.0,true,agent,agent.host.risk.static_score_norm,float,extended,,83.0,A normalized risk score calculated by an external system.
9.1.0,true,agent,agent.host.type,keyword,core,,,Type of host.
9.1.0,true,agent,agent.host.uptime,long,extended,,1325,Seconds the host has been up.
9.1.0,true,agent,agent.id,keyword,core,,8a4f500d,Unique identifier of this agent.
9.1.0,true,agent,agent.name,keyword,core,,foo,Custom name of the agent.
9.1.0,true,agent,agent.type,keyword,core,,filebeat,Type of the agent.
9.1.0,true,agent,agent.version,keyword,core,,6.0.0-rc2,Version of the agent.
9.1.0,true,check,check.compliance,keyword,custom,array,"[""cis:1.1.1"",""cis_csc:5.2""]",CIS compliance standard.
9.1.0,true,check,check.condition,keyword,custom,,all,Relationship between the rules.
9.1.0,true,check,check.description,keyword,custom,,"""The password history setting determines the number of unique new passwords a user must use before an old password can be reused.""",Extended description of the check.
9.1.0,true,check,check.id,keyword,custom,,26000,The ID of the SCA policy check.
9.1.0,true,check,check.name,keyword,custom,,Ensure 'Enforce password history' is set to '24 or more password(s)'.,The name of the SCA policy check.
9.1.0,true,check,check.rationale,keyword,custom,,"""The longer a user uses the same password, the more likely it is that the password will be compromised.""",The reason for the check. Why it is important.
9.1.0,true,check,check.reason,keyword,custom,,"""The password history setting is not set to 24 or more password(s).""",Reason for the check result.
9.1.0,true,check,check.references,keyword,custom,array,"[""https://workbench.cisecurity.org""]",References for the check.
9.1.0,true,check,check.remediation,keyword,custom,,"""To establish the recommended configuration, set the following registry value to 24 or more password(s):""",Actions to take to remediate the check.
9.1.0,true,check,check.result,keyword,custom,,failed,Result of the check.
9.1.0,true,check,check.rules,keyword,custom,array,"""[\""c:net.exe accounts -> n:Maximum password age \(days\):\s+(\d+) compare > 0\"","" > ""\""c:net.exe accounts -> n:Length of password history maintained:\s+(\d+) compare >= 24\""]""",Rules to be evaluated.
9.1.0,true,client,client.address,keyword,extended,,,Client network address.
9.1.0,true,client,client.as.number,long,extended,,15169,Unique number allocated to the autonomous system.
9.1.0,true,client,client.as.organization.name,keyword,extended,,Google LLC,Organization name.
9.1.0,true,client,client.bytes,long,core,,184,Bytes sent from the client to the server.
9.1.0,true,client,client.domain,keyword,core,,foo.example.com,The domain name of the client.
9.1.0,true,client,client.geo.city_name,keyword,core,,Montreal,City name.
9.1.0,true,client,client.geo.continent_code,keyword,core,,NA,Continent code.
9.1.0,true,client,client.geo.continent_name,keyword,core,,North America,Name of the continent.
9.1.0,true,client,client.geo.country_iso_code,keyword,core,,CA,Country ISO code.
9.1.0,true,client,client.geo.country_name,keyword,core,,Canada,Country name.
9.1.0,true,client,client.geo.location,geo_point,core,,"{ ""lon"": -73.614830, ""lat"": 45.505918 }",Longitude and latitude.
9.1.0,true,client,client.geo.name,keyword,extended,,boston-dc,User-defined description of a location.
9.1.0,true,client,client.geo.postal_code,keyword,core,,94040,Postal code.
9.1.0,true,client,client.geo.region_iso_code,keyword,core,,CA-QC,Region ISO code.
9.1.0,true,client,client.geo.region_name,keyword,core,,Quebec,Region name.
9.1.0,true,client,client.geo.timezone,keyword,core,,America/Argentina/Buenos_Aires,Time zone.
9.1.0,true,client,client.ip,ip,core,,,IP address of the client.
9.1.0,true,client,client.mac,keyword,core,,00-00-5E-00-53-23,MAC address of the client.
9.1.0,true,client,client.nat.ip,ip,extended,,,Client NAT ip address
9.1.0,true,client,client.nat.port,long,extended,,,Client NAT port
9.1.0,true,client,client.packets,long,core,,12,Packets sent from the client to the server.
9.1.0,true,client,client.port,long,core,,,Port of the client.
9.1.0,true,client,client.registered_domain,keyword,extended,,example.com,"The highest registered client domain, stripped of the subdomain."
9.1.0,true,client,client.subdomain,keyword,extended,,east,The subdomain of the domain.
9.1.0,true,client,client.top_level_domain,keyword,extended,,co.uk,"The effective top level domain (com, org, net, co.uk)."
9.1.0,true,client,client.user.domain,keyword,extended,,,Name of the directory the user is a member of.
9.1.0,true,client,client.user.email,keyword,extended,,,User email address.
9.1.0,true,client,client.user.full_name,keyword,extended,,Albert Einstein,"User's full name, if available."
9.1.0,true,client,client.user.group.domain,keyword,extended,,,Name of the directory the group is a member of.
9.1.0,true,client,client.user.group.id,keyword,extended,,,Unique identifier for the group on the system/platform.
9.1.0,true,client,client.user.group.name,keyword,extended,,,Name of the group.
9.1.0,true,client,client.user.hash,keyword,extended,,,Unique user hash to correlate information for a user in anonymized form.
9.1.0,true,client,client.user.id,keyword,core,,S-1-5-21-202424912787-2692429404-2351956786-1000,Unique identifier of the user.
9.1.0,true,client,client.user.name,keyword,core,,a.einstein,Short name or login of the user.
9.1.0,true,client,client.user.roles,keyword,extended,array,"[""kibana_admin"", ""reporting_user""]",Array of user roles at the time of the event.
9.1.0,true,cloud,cloud.account.id,keyword,extended,,666777888999,The cloud account or organization id.
9.1.0,true,cloud,cloud.account.name,keyword,extended,,elastic-dev,The cloud account name.
9.1.0,true,cloud,cloud.availability_zone,keyword,extended,,us-east-1c,"Availability zone in which this host, resource, or service is located."
9.1.0,true,cloud,cloud.instance.id,keyword,extended,,i-1234567890abcdef0,Instance ID of the host machine.
9.1.0,true,cloud,cloud.instance.name,keyword,extended,,,Instance name of the host machine.
9.1.0,true,cloud,cloud.machine.type,keyword,extended,,t2.medium,Machine type of the host machine.
9.1.0,true,cloud,cloud.origin.account.id,keyword,extended,,666777888999,The cloud account or organization id.
9.1.0,true,cloud,cloud.origin.account.name,keyword,extended,,elastic-dev,The cloud account name.
9.1.0,true,cloud,cloud.origin.availability_zone,keyword,extended,,us-east-1c,"Availability zone in which this host, resource, or service is located."
9.1.0,true,cloud,cloud.origin.instance.id,keyword,extended,,i-1234567890abcdef0,Instance ID of the host machine.
9.1.0,true,cloud,cloud.origin.instance.name,keyword,extended,,,Instance name of the host machine.
9.1.0,true,cloud,cloud.origin.machine.type,keyword,extended,,t2.medium,Machine type of the host machine.
9.1.0,true,cloud,cloud.origin.project.id,keyword,extended,,my-project,The cloud project id.
9.1.0,true,cloud,cloud.origin.project.name,keyword,extended,,my project,The cloud project name.
9.1.0,true,cloud,cloud.origin.provider,keyword,extended,,aws,Name of the cloud provider.
9.1.0,true,cloud,cloud.origin.region,keyword,extended,,us-east-1,"Region in which this host, resource, or service is located."
9.1.0,true,cloud,cloud.origin.service.name,keyword,extended,,lambda,The cloud service name.
9.1.0,true,cloud,cloud.project.id,keyword,extended,,my-project,The cloud project id.
9.1.0,true,cloud,cloud.project.name,keyword,extended,,my project,The cloud project name.
9.1.0,true,cloud,cloud.provider,keyword,extended,,aws,Name of the cloud provider.
9.1.0,true,cloud,cloud.region,keyword,extended,,us-east-1,"Region in which this host, resource, or service is located."
9.1.0,true,cloud,cloud.service.name,keyword,extended,,lambda,The cloud service name.
9.1.0,true,cloud,cloud.target.account.id,keyword,extended,,666777888999,The cloud account or organization id.
9.1.0,true,cloud,cloud.target.account.name,keyword,extended,,elastic-dev,The cloud account name.
9.1.0,true,cloud,cloud.target.availability_zone,keyword,extended,,us-east-1c,"Availability zone in which this host, resource, or service is located."
9.1.0,true,cloud,cloud.target.instance.id,keyword,extended,,i-1234567890abcdef0,Instance ID of the host machine.
9.1.0,true,cloud,cloud.target.instance.name,keyword,extended,,,Instance name of the host machine.
9.1.0,true,cloud,cloud.target.machine.type,keyword,extended,,t2.medium,Machine type of the host machine.
9.1.0,true,cloud,cloud.target.project.id,keyword,extended,,my-project,The cloud project id.
9.1.0,true,cloud,cloud.target.project.name,keyword,extended,,my project,The cloud project name.
9.1.0,true,cloud,cloud.target.provider,keyword,extended,,aws,Name of the cloud provider.
9.1.0,true,cloud,cloud.target.region,keyword,extended,,us-east-1,"Region in which this host, resource, or service is located."
9.1.0,true,cloud,cloud.target.service.name,keyword,extended,,lambda,The cloud service name.
9.1.0,true,container,container.cpu.usage,scaled_float,extended,,,"Percent CPU used, between 0 and 1."
9.1.0,true,container,container.disk.read.bytes,long,extended,,,The number of bytes read by all disks.
9.1.0,true,container,container.disk.write.bytes,long,extended,,,The number of bytes written on all disks.
9.1.0,true,container,container.id,keyword,core,,,Unique container id.
9.1.0,true,container,container.image.hash.all,keyword,extended,array,[sha256:f8fefc80e3273dc756f288a63945820d6476ad64883892c771b5e2ece6bf1b26],An array of digests of the image the container was built on.
9.1.0,true,container,container.image.name,keyword,extended,,,Name of the image the container was built on.
9.1.0,true,container,container.image.tag,keyword,extended,array,,Container image tags.
9.1.0,true,container,container.labels,object,extended,,,Image labels.
9.1.0,true,container,container.memory.usage,scaled_float,extended,,,"Percent memory used, between 0 and 1."
9.1.0,true,container,container.name,keyword,extended,,,Container name.
9.1.0,true,container,container.network.egress.bytes,long,extended,,,The number of bytes sent on all network interfaces.
9.1.0,true,container,container.network.ingress.bytes,long,extended,,,The number of bytes received on all network interfaces.
9.1.0,true,container,container.runtime,keyword,extended,,docker,Runtime managing this container.
9.1.0,true,container,container.security_context.privileged,boolean,extended,,,Indicates whether the container is running in privileged mode.
9.1.0,true,data_stream,data_stream.dataset,keyword,extended,,nginx.access,The field can contain anything that makes sense to signify the source of the data.
9.1.0,true,data_stream,data_stream.namespace,keyword,extended,,production,A user defined namespace. Namespaces are useful to allow grouping of data.
9.1.0,true,data_stream,data_stream.type,keyword,extended,,logs,An overarching type for the data stream.
9.1.0,true,destination,destination.address,keyword,extended,,,Destination network address.
9.1.0,true,destination,destination.as.number,long,extended,,15169,Unique number allocated to the autonomous system.
9.1.0,true,destination,destination.as.organization.name,keyword,extended,,Google LLC,Organization name.
9.1.0,true,destination,destination.bytes,long,core,,184,Bytes sent from the destination to the source.
9.1.0,true,destination,destination.domain,keyword,core,,foo.example.com,The domain name of the destination.
9.1.0,true,destination,destination.geo.city_name,keyword,core,,Montreal,City name.
9.1.0,true,destination,destination.geo.continent_code,keyword,core,,NA,Continent code.
9.1.0,true,destination,destination.geo.continent_name,keyword,core,,North America,Name of the continent.
9.1.0,true,destination,destination.geo.country_iso_code,keyword,core,,CA,Country ISO code.
9.1.0,true,destination,destination.geo.country_name,keyword,core,,Canada,Country name.
9.1.0,true,destination,destination.geo.location,geo_point,core,,"{ ""lon"": -73.614830, ""lat"": 45.505918 }",Longitude and latitude.
9.1.0,true,destination,destination.geo.name,keyword,extended,,boston-dc,User-defined description of a location.
9.1.0,true,destination,destination.geo.postal_code,keyword,core,,94040,Postal code.
