ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
9.1.0,true,base,message,keyword,core,,Hello World,Log message optimized for viewing in a log viewer.
9.1.0,true,state,state.document_version,integer,custom,,,Version of the document.
9.1.0,true,state,state.modified_at,date,custom,,,Date/time when the state was last modified.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent-info.integrity_interval,long,custom,,,Agent module configuration: agent-info.integrity_interval.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent-info.interval,long,custom,,,Agent module configuration: agent-info.interval.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent-info.synchronization.enabled,keyword,custom,,,Agent module configuration: agent-info.synchronization.enabled.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent-info.synchronization.max_eps,long,custom,,,Agent module configuration: agent-info.synchronization.max_eps.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent-info.synchronization.response_timeout,long,custom,,,Agent module configuration: agent-info.synchronization.response_timeout.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent-info.synchronization.retries,long,custom,,,Agent module configuration: agent-info.synchronization.retries.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent-info.synchronization.sync_end_delay,long,custom,,,Agent module configuration: agent-info.synchronization.sync_end_delay.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent-info.task_registry.max_entries,long,custom,,,Agent module configuration: agent-info.task_registry.max_entries.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent-info.task_registry.ttl,long,custom,,,Agent module configuration: agent-info.task_registry.ttl.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent-upgrade.ca_store,keyword,custom,,,Agent module configuration: agent-upgrade.ca_store.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent-upgrade.ca_verification,keyword,custom,,,Agent module configuration: agent-upgrade.ca_verification.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent-upgrade.enabled,keyword,custom,,,Agent module configuration: agent-upgrade.enabled.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent.agent.auto_restart,keyword,custom,,,Agent module configuration: agent.agent.auto_restart.
9.1.0,true,wazuh,wazuh.agent.configuration.content.agent.agent.batch.interval,long,custom,,,Agent module configuration: agent.agent.batch.interval.
