ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
9.1.0,true,base,message,keyword,core,,Hello World,Log message optimized for viewing in a log viewer.
9.1.0,true,checksum,checksum.hash.sha1,keyword,custom,,,SHA1 hash used as checksum of the data collected by the agent.
9.1.0,true,error,error.log.file.path,keyword,extended,,/var/log/fun-times.log,Full path to the log file this event came from.
9.1.0,true,file,file.path,keyword,extended,,/home/alice/example.png,"Full path to the file, including the file name."
9.1.0,true,log,log.file.path,keyword,extended,,/var/log/fun-times.log,Full path to the log file this event came from.
9.1.0,true,process,process.args,keyword,extended,array,"[""/usr/bin/ssh"", ""-l"", ""user"", ""10.0.0.16""]",Array of process arguments.
9.1.0,true,process,process.executable,keyword,extended,,/usr/bin/ssh,Absolute path to the process executable.
9.1.0,true,process,process.group.name,keyword,extended,,,Name of the group.
9.1.0,true,process,process.pid,long,core,,4242,Process id.
9.1.0,true,process,process.root_directory,keyword,custom,,,Chroot directory before execution.
9.1.0,true,process,process.user.name,keyword,core,,a.einstein,Short name or login of the user.
9.1.0,true,process,process.working_directory,keyword,extended,,/home/alice,The working directory of the process.
9.1.0,true,service,service.address,keyword,extended,,172.26.0.2:5432,Address of this service.
9.1.0,true,service,service.description,keyword,custom,,Apache HTTP Server,Description of the service.
9.1.0,true,service,service.enabled,keyword,custom,,enabled,"Whether the unit file is enabled, e.g. `enabled`, `masked`, `disabled`, etc."
9.1.0,true,service,service.exit_code,integer,custom,,0,Service-specific exit code on failure.
9.1.0,true,service,service.following,keyword,custom,,apache2.service,The name of another unit that this unit follows in state.
9.1.0,true,service,service.frequency,long,custom,,3600,Frequency in seconds at which the service is run.
9.1.0,true,service,service.id,keyword,core,,d37e5ebfe0ae6c4972dbe9f0174a1637bb8247f6,Unique identifier of the running service.
9.1.0,true,service,service.inetd_compatibility,boolean,custom,,False,Run job as if launched from inetd.
9.1.0,true,service,service.name,keyword,core,,elasticsearch-metrics,Name of the service.
9.1.0,true,service,service.object_path,keyword,custom,,/org/freedesktop/systemd1/unit/apache2_2eservice,D-Bus object path of the service.
9.1.0,true,service,service.restart,keyword,custom,,on-failure,"Restart policy for the service, e.g. `always`, `on-failure`, `never`."
9.1.0,true,service,service.start_type,keyword,custom,,AUTO_START,"Service start type: BOOT_START, SYSTEM_START, AUTO_START, DEMAND_START, DISABLED."
9.1.0,true,service,service.starts.on_mount,boolean,custom,,True,Launches every time a filesystem is mounted.
9.1.0,true,service,service.starts.on_not_empty_directory,keyword,custom,array,"['/var/spool/mail', '/tmp/uploads']",Launches when directories become non-empty.
9.1.0,true,service,service.starts.on_path_modified,keyword,custom,array,"['/var/log', '/etc/config']",Launches on path modification.
9.1.0,true,service,service.state,keyword,core,,,Current state of the service.
9.1.0,true,service,service.sub_state,keyword,custom,,running,"The low-level unit activation state, values depend on unit type."
9.1.0,true,service,service.target.address,keyword,extended,,172.26.0.2:5432,Address of this service.
9.1.0,true,service,service.target.ephemeral_id,keyword,extended,,8a4f500f,Ephemeral identifier of this service.
9.1.0,true,service,service.target.type,keyword,core,,elasticsearch,The type of the service.
9.1.0,true,service,service.type,keyword,core,,elasticsearch,The type of the service.
9.1.0,true,service,service.win32_exit_code,integer,custom,,0,Win32 exit code on start/stop.
9.1.0,true,state,state.document_version,integer,custom,,,Version of the document.
9.1.0,true,state,state.modified_at,date,custom,,,Date/time when the state was last modified.
9.1.0,true,wazuh,wazuh.agent.groups,keyword,custom,array,"[""group1"", ""group2""]",List of groups the agent belongs to.
9.1.0,true,wazuh,wazuh.agent.host.architecture,keyword,core,,x86_64,Operating system architecture.
9.1.0,true,wazuh,wazuh.agent.host.hostname,keyword,core,,,Hostname of the host.
9.1.0,true,wazuh,wazuh.agent.host.ip,ip,core,array,,Host ip addresses.
9.1.0,true,wazuh,wazuh.agent.host.os.name,keyword,extended,,Mac OS X,"Operating system name, without the version."
9.1.0,true,wazuh,wazuh.agent.host.os.platform,keyword,extended,,darwin,"Operating system platform (such centos, ubuntu, windows)."
9.1.0,true,wazuh,wazuh.agent.host.os.type,keyword,extended,,macos,"Which commercial OS family (one of: linux, macos, unix, windows, ios or android)."
9.1.0,true,wazuh,wazuh.agent.host.os.version,keyword,extended,,10.14.1,Operating system version as a raw string.
9.1.0,true,wazuh,wazuh.agent.id,keyword,core,,8a4f500d,Unique identifier of this agent.
9.1.0,true,wazuh,wazuh.agent.name,keyword,core,,foo,Custom name of the agent.
9.1.0,true,wazuh,wazuh.agent.version,keyword,core,,6.0.0-rc2,Version of the agent.
9.1.0,true,wazuh,wazuh.cluster.name,keyword,custom,,,Wazuh cluster name.
9.1.0,true,wazuh,wazuh.cluster.node,keyword,custom,,,Wazuh cluster node name.
9.1.0,true,wazuh,wazuh.schema.version,keyword,custom,,,Wazuh schema version.
