ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
9.1.0,true,base,message,keyword,core,,Hello World,Log message optimized for viewing in a log viewer.
9.1.0,true,checksum,checksum.hash.sha1,keyword,custom,,,SHA1 hash used as checksum of the data collected by the agent.
9.1.0,true,host,host.architecture,keyword,core,,x86_64,Operating system architecture.
9.1.0,true,host,host.hostname,keyword,core,,,Hostname of the host.
9.1.0,true,host,host.os.build,keyword,custom,,,Build number of the OS
9.1.0,true,host,host.os.codename,keyword,custom,,,OS codename
9.1.0,true,host,host.os.distribution.release,keyword,custom,,,Distribution-specific release information
9.1.0,true,host,host.os.full,keyword,extended,,Mac OS Mojave,"Operating system name, including the version or code name."
9.1.0,true,host,host.os.kernel.name,keyword,custom,,,System kernel name
9.1.0,true,host,host.os.kernel.release,keyword,custom,,,Kernel release version
9.1.0,true,host,host.os.kernel.version,keyword,custom,,,Kernel version
9.1.0,true,host,host.os.major,keyword,custom,,,Major version number
9.1.0,true,host,host.os.minor,keyword,custom,,,Minor version number
9.1.0,true,host,host.os.name,keyword,extended,,Mac OS X,"Operating system name, without the version."
9.1.0,true,host,host.os.patch,keyword,custom,,,Patch level of the OS
9.1.0,true,host,host.os.platform,keyword,extended,,darwin,"Operating system platform (such centos, ubuntu, windows)."
9.1.0,true,host,host.os.type,keyword,extended,,macos,"Which commercial OS family (one of: linux, macos, unix, windows, ios or android)."
9.1.0,true,host,host.os.version,keyword,extended,,10.14.1,Operating system version as a raw string.
9.1.0,true,state,state.document_version,integer,custom,,,Version of the document.
9.1.0,true,state,state.modified_at,date,custom,,,Date/time when the state was last modified.
9.1.0,true,wazuh,wazuh.agent.groups,keyword,custom,array,"[""group1"", ""group2""]",List of groups the agent belongs to.
9.1.0,true,wazuh,wazuh.agent.host.architecture,keyword,core,,x86_64,Operating system architecture.
9.1.0,true,wazuh,wazuh.agent.host.hostname,keyword,core,,,Hostname of the host.
9.1.0,true,wazuh,wazuh.agent.host.ip,ip,core,array,,Host ip addresses.
9.1.0,true,wazuh,wazuh.agent.host.os.name,keyword,extended,,Mac OS X,"Operating system name, without the version."
9.1.0,true,wazuh,wazuh.agent.host.os.platform,keyword,extended,,darwin,"Operating system platform (such centos, ubuntu, windows)."
9.1.0,true,wazuh,wazuh.agent.host.os.type,keyword,extended,,macos,"Which commercial OS family (one of: linux, macos, unix, windows, ios or android)."
9.1.0,true,wazuh,wazuh.agent.host.os.version,keyword,extended,,10.14.1,Operating system version as a raw string.
9.1.0,true,wazuh,wazuh.agent.id,keyword,core,,8a4f500d,Unique identifier of this agent.
9.1.0,true,wazuh,wazuh.agent.name,keyword,core,,foo,Custom name of the agent.
9.1.0,true,wazuh,wazuh.agent.version,keyword,core,,6.0.0-rc2,Version of the agent.
9.1.0,true,wazuh,wazuh.cluster.name,keyword,custom,,,Wazuh cluster name.
9.1.0,true,wazuh,wazuh.cluster.node,keyword,custom,,,Wazuh cluster node name.
9.1.0,true,wazuh,wazuh.schema.version,keyword,custom,,,Wazuh schema version.
