ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
9.1.0,true,base,@timestamp,date,core,,2016-05-23T08:05:34.853Z,When the document was inserted into the wazuh-active-responses index.
9.1.0,true,event,event.doc_id,keyword,custom,,abc123,Document ID of the matched alert that triggered the active response.
9.1.0,true,event,event.index,keyword,custom,,wazuh-events-v5-security,Source index of the matched alert that triggered the active response.
9.1.0,true,wazuh,wazuh.active_response.agent_id,keyword,custom,,001,Agent configured in the active response channel.
9.1.0,true,wazuh,wazuh.active_response.executable,keyword,custom,,firewall-drop,Executable configured in the active response channel.
9.1.0,true,wazuh,wazuh.active_response.extra_arguments,keyword,custom,array,"[""192.168.1.100"", ""600""]",Arguments configured in the active response channel.
9.1.0,true,wazuh,wazuh.active_response.location,keyword,custom,,defined-agent,"Where to execute. One of: local, defined-agent, all."
9.1.0,true,wazuh,wazuh.active_response.name,keyword,custom,,firewall-drop,Name of the active response configured in the channel.
9.1.0,true,wazuh,wazuh.active_response.stateful_timeout,integer,custom,,300,Seconds configured in the channel (for stateful type).
9.1.0,true,wazuh,wazuh.active_response.type,keyword,custom,,stateless,"Response type. One of: stateless, stateful."
9.1.0,true,wazuh,wazuh.agent.build.original,keyword,core,,"metricbeat version 7.6.0 (amd64), libbeat 7.6.0 [6a23e8f8f30f5001ba344e4e54d8d9cb82cb107c built 2020-02-05 23:10:10 +0000 UTC]",Extended build information for the agent.
9.1.0,true,wazuh,wazuh.agent.ephemeral_id,keyword,extended,,8a4f500f,Ephemeral identifier of this agent.
9.1.0,true,wazuh,wazuh.agent.groups,keyword,custom,array,"[""group1"", ""group2""]",List of groups the agent belongs to.
9.1.0,true,wazuh,wazuh.agent.host.architecture,keyword,core,,x86_64,Operating system architecture.
9.1.0,true,wazuh,wazuh.agent.host.boot.id,keyword,extended,,88a1f0ed-5ae5-41ee-af6b-41921c311872,Linux boot uuid taken from /proc/sys/kernel/random/boot_id
9.1.0,true,wazuh,wazuh.agent.host.cpu,object,custom,,"""name"": ""Intel(R) Core(TM) i7-7700HQ CPU"", ""cores"": 4, ""speed"": 2800",CPU-related data.
9.1.0,true,wazuh,wazuh.agent.host.cpu.cores,long,custom,,4,Number of CPU cores.
9.1.0,true,wazuh,wazuh.agent.host.cpu.name,keyword,custom,,Intel(R) Core(TM) i7-7700HQ CPU,CPU Model name.
9.1.0,true,wazuh,wazuh.agent.host.cpu.speed,long,custom,,2800,CPU clock speed.
9.1.0,true,wazuh,wazuh.agent.host.cpu.usage,scaled_float,extended,,,"Percent CPU used, between 0 and 1."
9.1.0,true,wazuh,wazuh.agent.host.disk.read.bytes,long,extended,,,The number of bytes read by all disks.
9.1.0,true,wazuh,wazuh.agent.host.disk.write.bytes,long,extended,,,The number of bytes written on all disks.
9.1.0,true,wazuh,wazuh.agent.host.domain,keyword,extended,,CONTOSO,Name of the directory the group is a member of.
9.1.0,true,wazuh,wazuh.agent.host.geo.city_name,keyword,core,,Montreal,City name.
9.1.0,true,wazuh,wazuh.agent.host.geo.continent_code,keyword,core,,NA,Continent code.
9.1.0,true,wazuh,wazuh.agent.host.geo.continent_name,keyword,core,,North America,Name of the continent.
9.1.0,true,wazuh,wazuh.agent.host.geo.country_iso_code,keyword,core,,CA,Country ISO code.
9.1.0,true,wazuh,wazuh.agent.host.geo.country_name,keyword,core,,Canada,Country name.
9.1.0,true,wazuh,wazuh.agent.host.geo.location,geo_point,core,,"{ ""lon"": -73.614830, ""lat"": 45.505918 }",Longitude and latitude.
9.1.0,true,wazuh,wazuh.agent.host.geo.name,keyword,extended,,boston-dc,User-defined description of a location.
9.1.0,true,wazuh,wazuh.agent.host.geo.postal_code,keyword,core,,94040,Postal code.
9.1.0,true,wazuh,wazuh.agent.host.geo.region_iso_code,keyword,core,,CA-QC,Region ISO code.
9.1.0,true,wazuh,wazuh.agent.host.geo.region_name,keyword,core,,Quebec,Region name.
9.1.0,true,wazuh,wazuh.agent.host.geo.timezone,keyword,core,,America/Argentina/Buenos_Aires,Time zone.
9.1.0,true,wazuh,wazuh.agent.host.hostname,keyword,core,,,Hostname of the host.
9.1.0,true,wazuh,wazuh.agent.host.id,keyword,core,,,Unique host id.
9.1.0,true,wazuh,wazuh.agent.host.ip,ip,core,array,,Host ip addresses.
9.1.0,true,wazuh,wazuh.agent.host.mac,keyword,core,array,"[""00-00-5E-00-53-23"", ""00-00-5E-00-53-24""]",Host MAC addresses.
9.1.0,true,wazuh,wazuh.agent.host.memory,object,custom,,"""total"": 100000, ""free"": 90000, ""used"": {""percentage"": 10}",Memory-related data.
9.1.0,true,wazuh,wazuh.agent.host.memory.free,long,custom,,1024,Free memory in MB.
